Date,Open,High,Low,True Range,1D,,,,,,,
10/03/2022,41909.05859,41999.46094,41904.57422,94.88672,4.97%,,Years,,,,1,3
09/03/2022,"38,742.82","42,465.67","38,706.09","3,759.58",6.71%,,Days,5,20,60,365,1095
08/03/2022,38059.90234,39304.44141,37957.38672,1347.05469,4.58%,,,4.73%,5.37%,4.86%,5.65%,4.99%
07/03/2022,38429.30469,39430.22656,37260.20313,2170.02343,4.57%,,,,,,,
06/03/2022,39404.19922,39640.17578,38211.64844,1428.52734,2.83%,,,,,,,
05/03/2022,39148.44922,39566.33594,38777.03516,789.30078,5.26%,,ATR-,average true range,,,,
04/03/2022,42458.14063,42479.61328,38805.84766,3673.76562,6.58%,,,volatility is going up. Good for day trading.,,,,
03/03/2022,43925.19531,44021.57813,41914.75,2106.82813,4.23%,,,,,,,
02/03/2022,44357.61719,45077.57813,43432.85156,1644.72657,4.03%,,,,,,,
01/03/2022,43194.50391,44793.60156,42952.58594,1841.01562,10.72%,,,,,,,
28/02/2022,37706,43760.45703,37518.21484,6242.24219,11.19%,,,,,,,
27/02/2022,39098.69922,39778.94141,37268.97656,2509.96485,4.86%,,,,,,,
26/02/2022,39213.08203,40005.34766,38702.53516,1302.8125,3.68%,,,,,,,
25/02/2022,38333.74609,39630.32422,38111.34375,1518.98047,8.09%,,,,,,,
24/02/2022,37278.56641,38968.83984,34459.21875,4509.62109,8.40%,,,,,,,
23/02/2022,38285.28125,39122.39453,37201.81641,1920.57812,5.11%,,,,,,,
22/02/2022,37068.76953,38359.85547,36488.93359,1870.92188,5.61%,,,,,,,
21/02/2022,38423.21094,39394.4375,36950.47656,2443.96094,5.55%,,,,,,,
20/02/2022,40118.10156,40119.89063,38112.8125,2007.07813,3.39%,,,,,,,
19/02/2022,40026.02344,40418.87891,39713.05859,705.82032,2.46%,,,,,,,
18/02/2022,40552.13281,40929.15234,39637.61719,1291.53515,5.89%,,,,,,,
17/02/2022,43937.07031,44132.97266,40249.37109,3883.60157,5.61%,,,,,,,
16/02/2022,44578.27734,44578.27734,43456.69141,1121.58593,3.87%,,,,,,,
15/02/2022,42586.46484,44667.21875,42491.03516,2176.18359,3.88%,,,,,,,
14/02/2022,42157.39844,42775.77734,41681.95703,1093.82031,2.17%,,,,,,,
13/02/2022,42236.56641,42693.05469,41950.94141,742.11328,2.22%,,,,,,,
12/02/2022,42412.30078,42992.55078,41852.57422,1139.97656,3.25%,,,,,,,
11/02/2022,43571.12891,43810.83203,42114.53906,1696.29297,4.46%,,,,,,,
10/02/2022,44347.80078,45661.17188,43402.80859,2258.36329,4.26%,,,,,,,
09/02/2022,44096.70313,44727.80078,43232.96875,1494.83203,4.54%,,,,,,,
08/02/2022,43854.65234,45293.86719,42807.83594,2486.03125,6.06%,,,,,,,
07/02/2022,42406.78125,44401.86328,41748.15625,2653.70703,4.72%,,,,,,,
06/02/2022,41441.12109,42500.78516,41244.90625,1255.87891,2.49%,,,,,,,
05/02/2022,41501.48047,41847.16406,41038.09766,809.0664,7.06%,,,,,,,
04/02/2022,37149.26563,41527.78516,37093.62891,4434.15625,7.06%,,,,,,,
03/02/2022,36944.80469,37154.60156,36375.53906,779.0625,3.59%,,,,,,,
02/02/2022,38743.71484,38834.61719,36832.73047,2001.88672,3.90%,,,,,,,
01/02/2022,38481.76563,39115.13281,38113.66406,1001.46875,3.84%,,,,,,,
31/01/2022,37920.28125,38647.26172,36733.57422,1913.6875,3.59%,,,,,,,
30/01/2022,38151.91797,38266.33984,37437.71094,828.6289,2.64%,,,,,,,
29/01/2022,37780.71484,38576.26172,37406.47266,1169.78906,3.92%,,,,,,,
28/01/2022,37128.44531,37952.87891,36211.10938,1741.76953,4.43%,,,,,,,
27/01/2022,36841.87891,37148.32422,35629.28125,1519.04297,5.37%,,,,,,,
26/01/2022,36950.51563,38825.41016,36374.90625,2450.50391,5.61%,,,,,,,
25/01/2022,36654.80469,37444.57031,35779.42969,1665.14062,7.90%,,,,,,,
24/01/2022,36275.73438,37247.51953,33184.05859,4063.46094,8.15%,,,,,,,
23/01/2022,35047.35938,36433.3125,34784.96875,1648.34375,5.47%,,,,,,,
22/01/2022,36471.58984,36688.8125,34349.25,2339.5625,9.35%,,,,,,,
21/01/2022,40699.60547,41060.52734,35791.42578,5269.10156,9.59%,,,,,,,
20/01/2022,41744.02734,43413.02344,40672.82422,2740.19922,4.69%,,,,,,,
19/01/2022,42374.03906,42478.30469,41242.91406,1235.39063,2.81%,,,,,,,
18/01/2022,42250.07422,42534.40234,41392.21484,1142.1875,3.06%,,,,,,,
17/01/2022,43118.12109,43179.39063,41680.32031,1499.07032,2.60%,,,,,,,
16/01/2022,43172.03906,43436.80859,42691.02344,745.78515,2.09%,,,,,,,
15/01/2022,43101.89844,43724.67188,42669.03516,1055.63672,2.84%,,,,,,,
14/01/2022,42598.87109,43346.6875,41982.61719,1364.07031,3.64%,,,,,,,
13/01/2022,43946.74219,44278.42188,42447.04297,1831.37891,4.02%,,,,,,,
12/01/2022,42742.17969,44135.36719,42528.98828,1606.37891,3.83%,,,,,,,
11/01/2022,41819.50781,43001.15625,41407.75391,1593.40234,4.77%,,,,,,,
10/01/2022,41910.23047,42199.48438,39796.57031,2402.91407,4.47%,,,,,,,
09/01/2022,41734.72656,42663.94922,41338.16016,1325.78906,3.47%,,,,,,,
08/01/2022,41561.46484,42228.94141,40672.27734,1556.66407,4.21%,,,,,,,
07/01/2022,43153.57031,43153.57031,41077.44531,2076.125,3.65%,,,,,,,
06/01/2022,43565.51172,43748.71875,42645.53906,1103.17969,5.70%,,,,,,,
05/01/2022,45899.35938,46929.04688,42798.22266,4130.82422,6.23%,,,,,,,
04/01/2022,46458.85156,47406.54688,45752.46484,1654.08204,3.52%,,,,,,,
03/01/2022,47343.54297,47510.72656,45835.96484,1674.76172,2.83%,,,,,,,
02/01/2022,47680.92578,47881.40625,46856.9375,1024.46875,2.77%,,,,,,,
01/01/2022,46311.74609,47827.3125,46288.48438,1538.82812,4.44%,,,,,,,
31/12/2021,47169.37109,48472.52734,45819.95313,2652.57421,4.81%,,,,,,,
30/12/2021,46490.60547,47879.96484,46060.3125,1819.65234,3.92%,,,,,,,
29/12/2021,47623.87109,48119.74219,46201.49609,1918.2461,5.11%,,,,,,,
28/12/2021,50679.85938,50679.85938,47414.21094,3265.64844,4.65%,,,,,,,
27/12/2021,50802.60938,51956.32813,50499.46875,1456.85938,3.00%,,,,,,,
26/12/2021,50428.69141,51196.37891,49623.10547,1573.27344,2.47%,,,,,,,
25/12/2021,50854.91797,51176.59766,50236.70703,939.89063,2.20%,,,,,,,
24/12/2021,50806.05078,51814.02734,50514.49609,1299.53125,4.70%,,,,,,,
23/12/2021,48626.34375,51332.33984,48065.83594,3266.5039,4.46%,,,,,,,
22/12/2021,48937.09766,49544.79688,48450.94141,1093.85547,3.94%,,,,,,,
21/12/2021,46886.07813,49300.91797,46698.77344,2602.14453,4.74%,,,,,,,
20/12/2021,46707.0625,47401.71875,45579.80859,1821.91016,3.64%,,,,,,,
19/12/2021,46853.86719,48089.66406,46502.95313,1586.71093,3.57%,,,,,,,
18/12/2021,46219.25391,47313.82813,45598.44141,1715.38672,4.30%,,,,,,,
17/12/2021,47653.73047,48004.89453,45618.21484,2386.67969,4.38%,,,,,,,
16/12/2021,48900.46484,49425.57422,47529.87891,1895.69531,4.86%,,,,,,,
15/12/2021,48379.75391,49473.95703,46671.96484,2801.99219,5.15%,,,,,,,
